CEMENTOMA_GIGANTIFORME_FAMILIAR;0.5;;;;;
;peso;%;;peso;%;tipo
GENERO;1;0.125;FEMININO;1;0.0625;u
GENERO;;;MASCULINO;1;0.0625;
FAIXA_ETARIA;1;0.125;0-9;2;0.0333333333;u
FAIXA_ETARIA;;;10-19;2;0.0333333333;
FAIXA_ETARIA;;;20-29;1;0.0166666667;
FAIXA_ETARIA;;;30-39;0.5;0.0083333333;
FAIXA_ETARIA;;;40-49;0.5;0.0083333333;
FAIXA_ETARIA;;;50-59;0.5;0.0083333333;
FAIXA_ETARIA;;;60-69;0.5;0.0083333333;
FAIXA_ETARIA;;;ACIMA_DE_70;0.5;0.0083333333;
DENSIDADE;1;0.125;RADIOLUCIDA;1;0.0416666667;u
DENSIDADE;;;MISTA;1;0.0416666667;
DENSIDADE;;;RADIOPACA;1;0.0416666667;
LOCALIZACAO;1;0.125;MAXILA_ANTERIOR;1;0.0052083333;m
LOCALIZACAO;;;MAXILA_POSTERIOR;1;0.0052083333;
LOCALIZACAO;;;MANDIBULA_ANTERIOR;1;0.0052083333;
LOCALIZACAO;;;MANDIBULA_POSTERIOR;1;0.0052083333;
LOCALIZACAO;;;CORPO_DA_MANDIBULA;1;0.0052083333;
LOCALIZACAO;;;INTERIOR_DO_CANAL_DA_MANDIBULA;0;0;
LOCALIZACAO;;;ABAIXO_DO_CANAL_DA_MANDIBULA;0;0;
LOCALIZACAO;;;FORAME_MENTUAL;0;0;
LOCALIZACAO;;;ANGULO_DA_MANDIBULA;1;0.0052083333;
LOCALIZACAO;;;RAMO_DA_MANDIBULA;1;0.0052083333;
LOCALIZACAO;;;CABECA_DA_MANDIBULA;0;0;
LOCALIZACAO;;;PROCESSO_CORONOIDE_DA_MANDIBULA;0;0;
LOCALIZACAO;;;TUBERCULO_ARTICULAR_DO_OSSO_TEMPORAL;0;0;
LOCALIZACAO;;;SEIO_MAXILAR;0;0;
LOCALIZACAO;;;TUBER_DA_MAXILA;1;0.0052083333;
LOCALIZACAO;;;PROCESSO_ZIGOMATICO_DA_MAXILA;1;0.0052083333;
LOCALIZACAO;;;ARCO_ZIGOMATICO;1;0.0052083333;
LOCALIZACAO;;;ULTRAPASSA_A_LINHA_MEDIA;1;0.0052083333;
LOCALIZACAO;;;PALATO_OSSEO;1;0.0052083333;
LOCALIZACAO;;;LINHA_MEDIA_DO_PALATO_OSSEO;1;0.0052083333;
LOCALIZACAO;;;FORAME_INCISIVO;0;0;
LOCALIZACAO;;;ENTRE_OS_APICES_DOS_INCISIVOS_CENTRAIS_SUPERIORES;1;0.0052083333;
LOCALIZACAO;;;PROCESSO_ALVEOLAR;1;0.0052083333;
LOCALIZACAO;;;PROXIMO_A_CRISTA_ALVEOLAR;1;0.0052083333;
LOCALIZACAO;;;CONTORNA_AS_RAIZES_DENTARIAS;1;0.0052083333;
LOCALIZACAO;;;INTERRADICULAR;1;0.0052083333;
LOCALIZACAO;;;CIRCUNSCREVE_A_RAIZ_DENTARIA;1;0.0052083333;
LOCALIZACAO;;;CIRCUNSCREVE_TODO_O_DENTE;1;0.0052083333;
LOCALIZACAO;;;AREA_EDENTULA;1;0.0052083333;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_PARCIALMENTE_IRROMPIDO;0;0;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_NAO_IRROMPIDO;0;0;
LOCALIZACAO;;;PERIAPICAL;1;0.0052083333;
LOCALIZACAO;;;FACE_LATERAL_DA_RAIZ_DENTARIA;1;0.0052083333;
LOCALIZACAO;;;REGIAO_APICAL_DOS_ALVEOLOS;1;0.0052083333;
LOCALIZACAO;;;PERICORONARIA;0;0;
LIMITES;1;0.125;DEFINIDOS;1;0.025;u
LIMITES;;;DEFINIDOS_(CORTICALIZADO);0;0;
LIMITES;;;DISCRETAMENTE_DEFINIDOS_(CORTICAL_POUCO_NITIDA);1;0.025;
LIMITES;;;DEFINIDOS_(HALO_RADIOLUCIDO);2;0.05;
LIMITES;;;INDEFINIDOS_(DIFUSOS);1;0.025;
FORMA;1;0.125;UNILOCULAR;1;0.0208333333;m
FORMA;;;MULTILOCULAR;1;0.0208333333;
FORMA;;;OVALADA_OU_ARREDONDADA;1;0.0208333333;
FORMA;;;FESTONADA;1;0.0208333333;
FORMA;;;SEM_FORMA_DEFINIDA;2;0.0416666667;
EFEITOS_NOS_TECIDOS_ADJACENTES;1;0.125;EXPANSAO_DAS_CORTICAIS_OSSEAS_(ABAULAMENTO);2;0.0111111111;m
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ADELGACAMENTO_DAS_CORTICAIS_OSSEAS;1;0.0055555556;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;REABSORCAO_RADICULAR_DO(S)_DENTE(S)_ENVOLVIDO(S);1;0.0055555556;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_DENTARIO;1;0.0055555556;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DIVERGENCIA_DE_RAIZES;1;0.0055555556;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;INVADE_O_SEIO_MAXILAR;1;0.0055555556;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_DO_ASSOALHO_DO_SEIO_MAXILAR;0.5;0.0027777778;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_DO_ASSOALHO_DA_FOSSA_NASAL;0.5;0.0027777778;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_SUPERIOR_DO_CANAL_DA_MANDIBULA;0.5;0.0027777778;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;DESLOCAMENTO_INFERIOR_DO_CANAL_DA_MANDIBULA;0.5;0.0027777778;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;LAMINA_DURA_PARCIALMENTE_ROMPIDA;0.5;0.0027777778;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;LAMINA_DURA_INDEFINIDA;0.5;0.0027777778;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;PERDA_DA_LAMINA_DURA;1;0.0055555556;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ESTREITAMENTO_DO_ESPACO_DO_LIGAMENTO_PERIODONTAL;1;0.0055555556;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALARGAMENTO_DO_ESPACO_DO_LIGAMENTO_PERIODONTAL;1;0.0055555556;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;IRREGULARIDADE_DO_ESPACO_ARTICULAR_ATM;0.5;0.0027777778;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;IRREGULARIDADE_DA_CABECA_DA_MANDIBULA;0.5;0.0027777778;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;REABSORCAO_DO_ASSOALHO_DA_FOSSA_NASAL;0.5;0.0027777778;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;REABSORCAO_DA_BASE_DA_MANDIBULA;0.5;0.0027777778;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;PERFURACAO_DA_CORTICAL_OSSEA;1;0.0055555556;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;ALTERACAO_DA_CRISTA_OSSEA_ALVEOLAR;2;0.0111111111;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;IMPACTACAO_DENTARIA;1;0.0055555556;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;OBSTRUCAO_NASAL;1;0.0055555556;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;AUMENTO_DOS_CORNETOS;0;0;
EFEITOS_NOS_TECIDOS_ADJACENTES;;;OBLITERACAO_SINUSAL;0.5;0.0027777778;
