DISPLASIA_OSSEA_FLORIDA;3;;;;;
;peso;%;;peso;%;tipo
GENERO;1;0.125;FEMININO;4;0.1;u
GENERO;;;MASCULINO;1;0.025;
FAIXA_ETARIA;1;0.125;0-9;0;0;u
FAIXA_ETARIA;;;10-19;0.5;0.0048076923;
FAIXA_ETARIA;;;20-29;0.5;0.0048076923;
FAIXA_ETARIA;;;30-39;2;0.0192307692;
FAIXA_ETARIA;;;40-49;3;0.0288461538;
FAIXA_ETARIA;;;50-59;3;0.0288461538;
FAIXA_ETARIA;;;60-69;2;0.0192307692;
FAIXA_ETARIA;;;ACIMA_DE_70;2;0.0192307692;
DENSIDADE;1;0.125;RADIOLUCIDA;1;0.0208333333;u
DENSIDADE;;;MISTA;3;0.0625;
DENSIDADE;;;RADIOPACA;2;0.0416666667;
LOCALIZACAO;1;0.125;MAXILA_ANTERIOR;1;0.0040322581;m
LOCALIZACAO;;;MAXILA_POSTERIOR;2;0.0080645161;
LOCALIZACAO;;;MANDIBULA_ANTERIOR;2;0.0080645161;
LOCALIZACAO;;;MANDIBULA_POSTERIOR;2;0.0080645161;
LOCALIZACAO;;;CORPO_DA_MANDIBULA;2;0.0080645161;
LOCALIZACAO;;;INTERIOR_DO_CANAL_DA_MANDIBULA;0;0;
LOCALIZACAO;;;ABAIXO_DO_CANAL_DA_MANDIBULA;0;0;
LOCALIZACAO;;;FORAME_MENTUAL;0;0;
LOCALIZACAO;;;ANGULO_DA_MANDIBULA;1;0.0040322581;
LOCALIZACAO;;;RAMO_DA_MANDIBULA;1;0.0040322581;
LOCALIZACAO;;;CABECA_DA_MANDIBULA;1;0.0040322581;
LOCALIZACAO;;;PROCESSO_CORONOIDE_DA_MANDIBULA;1;0.0040322581;
LOCALIZACAO;;;TUBERCULO_ARTICULAR_DO_OSSO_TEMPORAL;1;0.0040322581;
LOCALIZACAO;;;SEIO_MAXILAR;0;0;
LOCALIZACAO;;;TUBER_DA_MAXILA;0;0;
LOCALIZACAO;;;PROCESSO_ZIGOMATICO_DA_MAXILA;0;0;
LOCALIZACAO;;;ARCO_ZIGOMATICO;0;0;
LOCALIZACAO;;;ULTRAPASSA_A_LINHA_MEDIA;2;0.0080645161;
LOCALIZACAO;;;PALATO_OSSEO;0.5;0.002016129;
LOCALIZACAO;;;LINHA_MEDIA_DO_PALATO_OSSEO;0.5;0.002016129;
LOCALIZACAO;;;FORAME_INCISIVO;0;0;
LOCALIZACAO;;;ENTRE_OS_APICES_DOS_INCISIVOS_CENTRAIS_SUPERIORES;1;0.0040322581;
LOCALIZACAO;;;PROCESSO_ALVEOLAR;1;0.0040322581;
LOCALIZACAO;;;PROXIMO_A_CRISTA_ALVEOLAR;1;0.0040322581;
LOCALIZACAO;;;CONTORNA_AS_RAIZES_DENTARIAS;1;0.0040322581;
LOCALIZACAO;;;INTERRADICULAR;1;0.0040322581;
LOCALIZACAO;;;CIRCUNSCREVE_A_RAIZ_DENTARIA;1;0.0040322581;
LOCALIZACAO;;;CIRCUNSCREVE_TODO_O_DENTE;0;0;
LOCALIZACAO;;;AREA_EDENTULA;2;0.0080645161;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_PARCIALMENTE_IRROMPIDO;0;0;
