HIPERPARATIREOIDISMO;0.5;;;;;
;peso;%;;peso;%;tipo
GENERO;1;0.125;FEMININO;0.8;0.1;u
GENERO;;;MASCULINO;0.2;0.025;
FAIXA_ETARIA;1;0.125;0-9;0.5;0.0096153846;u
FAIXA_ETARIA;;;10-19;0.5;0.0096153846;
FAIXA_ETARIA;;;20-29;0.5;0.0096153846;
FAIXA_ETARIA;;;30-39;1;0.0192307692;
FAIXA_ETARIA;;;40-49;1;0.0192307692;
FAIXA_ETARIA;;;50-59;1;0.0192307692;
FAIXA_ETARIA;;;60-69;1;0.0192307692;
FAIXA_ETARIA;;;ACIMA_DE_70;1;0.0192307692;
DENSIDADE;1;0.125;RADIOLUCIDA;1;0.1041666667;u
DENSIDADE;;;MISTA;0.2;0.0208333333;
DENSIDADE;;;RADIOPACA;0;0;
LOCALIZACAO;1;0.125;MAXILA_ANTERIOR;1;0.0048076923;m
LOCALIZACAO;;;MAXILA_POSTERIOR;1;0.0048076923;
LOCALIZACAO;;;MANDIBULA_ANTERIOR;1;0.0048076923;
LOCALIZACAO;;;MANDIBULA_POSTERIOR;1;0.0048076923;
LOCALIZACAO;;;CORPO_DA_MANDIBULA;1;0.0048076923;
LOCALIZACAO;;;INTERIOR_DO_CANAL_DA_MANDIBULA;0;0;
LOCALIZACAO;;;ABAIXO_DO_CANAL_DA_MANDIBULA;1;0.0048076923;
LOCALIZACAO;;;FORAME_MENTUAL;0;0;
LOCALIZACAO;;;ANGULO_DA_MANDIBULA;1;0.0048076923;
LOCALIZACAO;;;RAMO_DA_MANDIBULA;1;0.0048076923;
LOCALIZACAO;;;CABECA_DA_MANDIBULA;0;0;
LOCALIZACAO;;;PROCESSO_CORONOIDE_DA_MANDIBULA;0;0;
LOCALIZACAO;;;TUBERCULO_ARTICULAR_DO_OSSO_TEMPORAL;1;0.0048076923;
LOCALIZACAO;;;SEIO_MAXILAR;0;0;
LOCALIZACAO;;;TUBER_DA_MAXILA;1;0.0048076923;
LOCALIZACAO;;;PROCESSO_ZIGOMATICO_DA_MAXILA;1;0.0048076923;
LOCALIZACAO;;;ARCO_ZIGOMATICO;1;0.0048076923;
LOCALIZACAO;;;ULTRAPASSA_A_LINHA_MEDIA;1;0.0048076923;
LOCALIZACAO;;;PALATO_OSSEO;1;0.0048076923;
LOCALIZACAO;;;LINHA_MEDIA_DO_PALATO_OSSEO;1;0.0048076923;
LOCALIZACAO;;;FORAME_INCISIVO;0;0;
LOCALIZACAO;;;ENTRE_OS_APICES_DOS_INCISIVOS_CENTRAIS_SUPERIORES;1;0.0048076923;
