QUERUBISMO;0.5;;;;;
;peso;%;;peso;%;tipo
GENERO;1;0.125;FEMININO;1;0.0416666667;u
GENERO;;;MASCULINO;2;0.0833333333;
FAIXA_ETARIA;1;0.125;0-9;2;0.0555555556;u
FAIXA_ETARIA;;;10-19;2;0.0555555556;
FAIXA_ETARIA;;;20-29;0.5;0.0138888889;
FAIXA_ETARIA;;;30-39;0;0;
FAIXA_ETARIA;;;40-49;0;0;
FAIXA_ETARIA;;;50-59;0;0;
FAIXA_ETARIA;;;60-69;0;0;
FAIXA_ETARIA;;;ACIMA_DE_70;0;0;
DENSIDADE;1;0.125;RADIOLUCIDA;1;0.125;u
DENSIDADE;;;MISTA;0;0;
DENSIDADE;;;RADIOPACA;0;0;
LOCALIZACAO;1;0.125;MAXILA_ANTERIOR;1;0.0040983607;m
LOCALIZACAO;;;MAXILA_POSTERIOR;2;0.0081967213;
LOCALIZACAO;;;MANDIBULA_ANTERIOR;1;0.0040983607;
LOCALIZACAO;;;MANDIBULA_POSTERIOR;2;0.0081967213;
LOCALIZACAO;;;CORPO_DA_MANDIBULA;2;0.0081967213;
LOCALIZACAO;;;INTERIOR_DO_CANAL_DA_MANDIBULA;0;0;
LOCALIZACAO;;;ABAIXO_DO_CANAL_DA_MANDIBULA;0.5;0.0020491803;
LOCALIZACAO;;;FORAME_MENTUAL;0.5;0.0020491803;
LOCALIZACAO;;;ANGULO_DA_MANDIBULA;0.5;0.0020491803;
LOCALIZACAO;;;RAMO_DA_MANDIBULA;2;0.0081967213;
LOCALIZACAO;;;CABECA_DA_MANDIBULA;0;0;
LOCALIZACAO;;;PROCESSO_CORONOIDE_DA_MANDIBULA;0;0;
LOCALIZACAO;;;TUBERCULO_ARTICULAR_DO_OSSO_TEMPORAL;0;0;
LOCALIZACAO;;;SEIO_MAXILAR;0;0;
LOCALIZACAO;;;TUBER_DA_MAXILA;2;0.0081967213;
LOCALIZACAO;;;PROCESSO_ZIGOMATICO_DA_MAXILA;1;0.0040983607;
LOCALIZACAO;;;ARCO_ZIGOMATICO;1;0.0040983607;
LOCALIZACAO;;;ULTRAPASSA_A_LINHA_MEDIA;1;0.0040983607;
LOCALIZACAO;;;PALATO_OSSEO;1;0.0040983607;
LOCALIZACAO;;;LINHA_MEDIA_DO_PALATO_OSSEO;1;0.0040983607;
LOCALIZACAO;;;FORAME_INCISIVO;0;0;
LOCALIZACAO;;;ENTRE_OS_APICES_DOS_INCISIVOS_CENTRAIS_SUPERIORES;1;0.0040983607;
LOCALIZACAO;;;PROCESSO_ALVEOLAR;1;0.0040983607;
LOCALIZACAO;;;PROXIMO_A_CRISTA_ALVEOLAR;1;0.0040983607;
LOCALIZACAO;;;CONTORNA_AS_RAIZES_DENTARIAS;1;0.0040983607;
LOCALIZACAO;;;INTERRADICULAR;1;0.0040983607;
LOCALIZACAO;;;CIRCUNSCREVE_A_RAIZ_DENTARIA;1;0.0040983607;
LOCALIZACAO;;;CIRCUNSCREVE_TODO_O_DENTE;1;0.0040983607;
LOCALIZACAO;;;AREA_EDENTULA;1;0.0040983607;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_PARCIALMENTE_IRROMPIDO;0.5;0.0020491803;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_NAO_IRROMPIDO;0.5;0.0020491803;
LOCALIZACAO;;;PERIAPICAL;1;0.0040983607;
LOCALIZACAO;;;FACE_LATERAL_DA_RAIZ_DENTARIA;1;0.0040983607;
LOCALIZACAO;;;REGIAO_APICAL_DOS_ALVEOLOS;0.5;0.0020491803;
