TUMOR_NEUROECTODERMICO_MELANOTICO_DA_INFANCIA;0.5;;;;;
;peso;%;;peso;%;tipo
GENERO;1;0.125;FEMININO;1;0.0416666667;u
GENERO;;;MASCULINO;2;0.0833333333;
FAIXA_ETARIA;1;0.125;0-9;3;0.075;u
FAIXA_ETARIA;;;10-19;1;0.025;
FAIXA_ETARIA;;;20-29;1;0.025;
FAIXA_ETARIA;;;30-39;0;0;
FAIXA_ETARIA;;;40-49;0;0;
FAIXA_ETARIA;;;50-59;0;0;
FAIXA_ETARIA;;;60-69;0;0;
FAIXA_ETARIA;;;ACIMA_DE_70;0;0;
DENSIDADE;1;0.125;RADIOLUCIDA;1;0.125;u
DENSIDADE;;;MISTA;0;0;
DENSIDADE;;;RADIOPACA;0;0;
LOCALIZACAO;1;0.125;MAXILA_ANTERIOR;6;0.0220588235;m
LOCALIZACAO;;;MAXILA_POSTERIOR;1;0.0036764706;
LOCALIZACAO;;;MANDIBULA_ANTERIOR;1;0.0036764706;
LOCALIZACAO;;;MANDIBULA_POSTERIOR;1;0.0036764706;
LOCALIZACAO;;;CORPO_DA_MANDIBULA;1;0.0036764706;
LOCALIZACAO;;;INTERIOR_DO_CANAL_DA_MANDIBULA;1;0.0036764706;
LOCALIZACAO;;;ABAIXO_DO_CANAL_DA_MANDIBULA;1;0.0036764706;
LOCALIZACAO;;;FORAME_MENTUAL;1;0.0036764706;
LOCALIZACAO;;;ANGULO_DA_MANDIBULA;0;0;
LOCALIZACAO;;;RAMO_DA_MANDIBULA;1;0.0036764706;
LOCALIZACAO;;;CABECA_DA_MANDIBULA;1;0.0036764706;
LOCALIZACAO;;;PROCESSO_CORONOIDE_DA_MANDIBULA;0;0;
LOCALIZACAO;;;TUBERCULO_ARTICULAR_DO_OSSO_TEMPORAL;0;0;
LOCALIZACAO;;;SEIO_MAXILAR;0;0;
LOCALIZACAO;;;TUBER_DA_MAXILA;0;0;
LOCALIZACAO;;;PROCESSO_ZIGOMATICO_DA_MAXILA;0;0;
LOCALIZACAO;;;ARCO_ZIGOMATICO;1;0.0036764706;
LOCALIZACAO;;;ULTRAPASSA_A_LINHA_MEDIA;1;0.0036764706;
LOCALIZACAO;;;PALATO_OSSEO;1;0.0036764706;
LOCALIZACAO;;;LINHA_MEDIA_DO_PALATO_OSSEO;1;0.0036764706;
LOCALIZACAO;;;FORAME_INCISIVO;1;0.0036764706;
LOCALIZACAO;;;ENTRE_OS_APICES_DOS_INCISIVOS_CENTRAIS_SUPERIORES;1;0.0036764706;
LOCALIZACAO;;;PROCESSO_ALVEOLAR;1;0.0036764706;
LOCALIZACAO;;;PROXIMO_A_CRISTA_ALVEOLAR;1;0.0036764706;
LOCALIZACAO;;;CONTORNA_AS_RAIZES_DENTARIAS;1;0.0036764706;
LOCALIZACAO;;;INTERRADICULAR;1;0.0036764706;
LOCALIZACAO;;;CIRCUNSCREVE_A_RAIZ_DENTARIA;1;0.0036764706;
LOCALIZACAO;;;CIRCUNSCREVE_TODO_O_DENTE;1;0.0036764706;
LOCALIZACAO;;;AREA_EDENTULA;1;0.0036764706;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_PARCIALMENTE_IRROMPIDO;1;0.0036764706;
LOCALIZACAO;;;ASSOCIADA_A_UM_DENTE_NAO_IRROMPIDO;1;0.0036764706;
LOCALIZACAO;;;PERIAPICAL;1;0.0036764706;
LOCALIZACAO;;;FACE_LATERAL_DA_RAIZ_DENTARIA;1;0.0036764706;
LOCALIZACAO;;;REGIAO_APICAL_DOS_ALVEOLOS;1;0.0036764706;
